"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"712",640455,"Manaea, Sean","712","100.0","0.265","0.171","0.306","0.435","0.325","0.331","0.264","45","170","89.5","16.2","1989","89.2","89.92","79","346","366","0.7","7.12","109","150","120","152","301","326","301"
"692",605135,"Bassitt, Chris","692","100.0","0.213","0.144","0.267","0.356","0.279","0.280","0.219","40","188","88.6","10.5","2175","90.9","90.58","80","349","343","-0.3","6.33","112","150","122","153","300","326","302"
"690",592767,"Smyly, Drew","690","100.0","0.248","0.261","0.255","0.510","0.341","0.347","0.258","39","157","90.9","15.5","2162","87.0","86.32","85","343","347","-0.7","5.80","109","151","123","149","300","317","296"
"678",593423,"Montas, Frankie","678","100.0","0.277","0.213","0.305","0.490","0.352","0.353","0.263","43","155","89.4","17.2","2403","96.1","95.51","73","394","284","-0.6","6.01","112","150","121","155","297","325","303"
"676",543294,"Hendricks, Kyle","676","100.0","0.282","0.236","0.297","0.517","0.361","0.345","0.275","49","174","89.2","7.3","2043","84.1","83.10","55","303","373","-1.0","5.85","113","156","114","149","294","321","294"
"662",425794,"Wainwright, Adam","662","100.0","0.192","0.147","0.233","0.340","0.272","0.296","0.219","30","156","87.7","8.1","2510","82.1","81.96","58","239","423","-0.1","6.53","113","157","117","148","299","321","301"
"661",607644,"Means, John","661","100.0","0.182","0.168","0.188","0.350","0.251","0.337","0.249","25","137","89.2","27.6","2409","89.7","89.09","69","304","357","-0.6","6.12","108","153","118","149","304","324","293"
"657",518774,"Harvey, Matt","657","100.0","0.338","0.232","0.376","0.570","0.407","0.372","0.284","48","142","90.2","12.9","2172","91.4","90.22","51","299","358","-1.2","6.04","108","151","117","149","302","324","298"
"650",643290,"Dunn, Justin","650","100.0","0.185","0.151","0.207","0.336","0.311","0.342","0.213","22","119","88.9","22.4","2424","88.4","88.56","72","297","353","0.2","6.52","110","153","111","148","294","325","300"
"646",592314,"Foltynewicz, Mike","646","100.0","0.285","0.218","0.271","0.503","0.357","0.374","0.295","47","165","90.6","14.9","2181","92.7","92.12","30","306","340","-0.6","6.15","113","155","119","148","297","324","296"
"641",593334,"Germán, Domingo","641","100.0","0.225","0.205","0.250","0.430","0.300","0.330","0.249","34","151","90.4","14.8","2501","87.9","87.39","94","318","322","-0.5","6.06","111","156","119","147","299","329","293"
"636",543135,"Eovaldi, Nathan","636","100.0","0.246","0.085","0.330","0.331","0.273","0.278","0.242","32","130","86.7","6.0","2144","91.4","91.51","70","311","325","0.1","6.57","112","156","116","148","285","318","299"
"634",621107,"Eflin, Zach","634","100.0","0.257","0.143","0.328","0.400","0.292","0.301","0.259","45","175","90.0","9.8","2100","90.2","90.78","57","301","333","0.6","6.72","111","151","117","148","298","322","293"
"634",666120,"Anderson, Ian","634","100.0","0.267","0.178","0.309","0.444","0.338","0.349","0.271","36","135","88.1","3.5","2003","90.4","91.22","59","266","368","0.8","6.90","107","151","123","150","299","318","294"
"634",543243,"Gray, Sonny","634","100.0","0.260","0.188","0.337","0.448","0.338","0.324","0.261","40","154","88.2","8.4","2582","88.5","88.59","71","276","358","0.1","6.49","112","153","117","148","292","315","290"
"631",663474,"McKenzie, Triston","631","100.0","0.193","0.160","0.261","0.353","0.322","0.335","0.205","23","119","93.1","24.1","2200","88.7","89.67","79","271","360","1.0","6.86","113","156","120","150","293","322","296"
"622",453562,"Arrieta, Jake","622","100.0","0.238","0.154","0.265","0.392","0.316","0.347","0.262","31","130","91.3","8.7","2277","88.3","86.91","50","238","384","-1.4","5.91","113","156","114","149","292","321","295"
"618",592791,"Taillon, Jameson","618","100.0","0.241","0.190","0.333","0.431","0.325","0.304","0.216","33","137","90.2","19.9","2528","90.1","90.69","92","310","308","0.6","6.74","113","157","117","149","296","327","290"
"610",571927,"Matz, Steven","610","100.0","0.257","0.104","0.361","0.361","0.302","0.297","0.244","37","144","88.4","7.7","2219","90.4","90.39","58","254","356","0.0","6.42","106","155","117","149","294","318","287"
"610",453286,"Scherzer, Max","610","100.0","0.203","0.195","0.247","0.398","0.288","0.294","0.195","25","123","90.8","24.7","2512","91.5","91.25","101","288","322","-0.3","6.29","110","155","119","150","300","322","299"
"605",545333,"Bauer, Trevor","605","100.0","0.117","0.109","0.148","0.226","0.205","0.280","0.178","16","137","92.3","24.8","2835","93.8","84.40","70","289","316","-9.4","6.49","114","160","118","150","297","318","292"
"604",641745,"Keller, Brad","604","100.0","0.346","0.177","0.369","0.523","0.407","0.422","0.328","45","130","90.3","6.1","2239","93.9","92.83","55","289","315","-1.1","5.91","107","157","113","145","292","322","302"
"604",543475,"Lyles, Jordan","604","100.0","0.302","0.259","0.347","0.561","0.397","0.359","0.255","42","139","92.8","19.0","2459","88.7","88.71","64","267","337","0.0","6.72","113","155","119","148","295","321","297"
"599",656427,"Flaherty, Jack","599","100.0","0.182","0.157","0.200","0.339","0.274","0.342","0.251","22","121","89.3","10.4","2237","93.6","93.90","52","262","337","0.3","6.79","113","157","118","149","297","318","296"
"599",656605,"Keller, Mitch","599","100.0","0.258","0.192","0.318","0.450","0.354","0.363","0.276","31","120","90.6","13.6","2414","91.0","90.64","45","259","340","-0.4","6.09","109","151","119","149","300","320","290"
"597",457918,"Happ, J.A.","597","100.0","0.277","0.177","0.337","0.454","0.350","0.320","0.241","36","130","89.3","14.8","2331","89.5","89.07","51","285","312","-0.4","6.06","101","154","115","147","300","330","296"
"597",500779,"Quintana, José","597","100.0","0.276","0.198","0.380","0.474","0.371","0.355","0.244","32","116","90.1","15.6","2147","87.1","86.78","80","265","332","-0.3","6.50","112","154","117","152","307","325","300"
"593",608344,"Irvin, Cole","593","100.0","0.258","0.139","0.310","0.397","0.309","0.336","0.271","39","151","91.3","20.3","1949","90.0","89.35","50","300","293","-0.6","6.23","108","150","120","149","305","329","298"
"591",663903,"Singer, Brady","591","100.0","0.257","0.046","0.337","0.303","0.303","0.305","0.220","28","109","86.7","4.2","2262","93.7","94.03","44","214","377","0.3","6.59","106","158","112","146","294","322","302"
"589",518516,"Bumgarner, Madison","589","100.0","0.183","0.183","0.235","0.366","0.268","0.289","0.205","24","131","88.7","19.0","2563","86.4","86.34","63","259","330","-0.1","6.54","109","153","118","149","308","332","302"
"589",663978,"Paddack, Chris","589","100.0","0.262","0.175","0.311","0.437","0.323","0.341","0.280","27","103","90.4","11.4","2215","92.6","93.02","61","242","347","0.4","6.74","117","155","132","147","297","321","306"
"574",642547,"Peralta, Freddy","574","100.0","0.132","0.149","0.169","0.281","0.251","0.276","0.155","15","114","87.1","23.6","2395","92.0","93.10","85","253","321","1.1","7.12","110","155","119","149","299","321","296"
"567",458681,"Lynn, Lance","567","100.0","0.169","0.100","0.226","0.269","0.234","0.267","0.184","22","130","90.1","19.3","2404","93.2","93.21","87","291","276","0.0","6.35","110","152","117","150","303","321","295"
"566",669432,"Rogers, Trevor","566","100.0","0.203","0.128","0.300","0.331","0.294","0.298","0.200","27","133","89.0","18.0","2379","94.6","94.56","80","275","291","0.0","6.61","105","149","114","147","301","316","287"
"566",645261,"Alcantara, Sandy","566","100.0","0.273","0.203","0.309","0.477","0.341","0.327","0.269","35","128","90.4","12.1","2360","96.2","95.46","66","287","279","-0.7","5.97","111","151","116","148","298","313","287"
"560",621111,"Buehler, Walker","560","100.0","0.173","0.128","0.202","0.301","0.228","0.310","0.233","23","133","88.4","15.5","2608","95.3","95.66","65","276","284","0.4","6.45","113","158","117","151","297","321","296"
"557",605400,"Nola, Aaron","557","100.0","0.273","0.109","0.355","0.382","0.326","0.340","0.249","30","110","89.4","18.9","2125","92.4","93.30","62","246","311","0.9","6.91","110","151","114","148","299","324","295"
"557",592866,"Williams, Trevor","557","100.0","0.303","0.205","0.344","0.508","0.390","0.344","0.262","37","122","89.2","10.4","2197","89.0","89.94","56","266","291","0.9","6.81","112","154","117","148","300","325","296"
"551",650644,"Civale, Aaron","551","100.0","0.227","0.180","0.257","0.406","0.293","0.316","0.263","29","128","89.0","12.6","2453","87.4","86.34","48","249","302","-1.1","5.75","115","155","120","150","297","323","297"
"545",605483,"Snell, Blake","545","100.0","0.269","0.312","0.367","0.581","0.420","0.425","0.269","25","93","90.9","14.7","2405","91.4","91.83","67","219","326","0.4","6.80","113","153","121","147","299","322","308"
"544",592662,"Ray, Robbie","544","100.0","0.243","0.229","0.271","0.471","0.330","0.345","0.269","34","140","93.0","16.4","2266","95.3","95.34","67","282","262","0.0","6.48","105","154","121","148","297","319","288"
"541",656546,"Hoffman, Jeff","541","100.0","0.257","0.208","0.282","0.465","0.369","0.399","0.291","26","101","90.7","15.5","2447","89.9","89.67","52","225","316","-0.2","6.50","111","154","114","147","296","318","289"
"539",665152,"Kremer, Dean","539","100.0","0.299","0.256","0.318","0.556","0.389","0.367","0.288","35","117","92.5","23.7","2352","88.6","88.03","45","243","296","-0.6","6.25","109","152","117","150","304","327","297"
"538",608566,"Márquez, Germán","538","100.0","0.278","0.174","0.269","0.452","0.377","0.424","0.334","32","115","89.4","4.1","2071","94.8","93.00","40","249","289","-1.8","5.39","110","151","113","148","301","333","304"
"537",477132,"Kershaw, Clayton","537","100.0","0.252","0.150","0.271","0.402","0.298","0.330","0.273","27","107","84.6","16.9","2558","85.8","85.43","41","213","324","-0.4","6.30","109","158","114","148","298","316","292"
"534",641154,"López, Pablo","534","100.0","0.228","0.129","0.289","0.356","0.279","0.289","0.227","23","101","83.1","12.7","2157","91.4","92.13","49","233","301","0.7","6.77","109","152","117","148","295","315","289"
"534",570632,"Ureña, José","534","100.0","0.280","0.129","0.302","0.409","0.346","0.403","0.320","37","132","91.6","4.6","2166","94.2","93.38","36","239","295","-0.8","6.31","107","154","116","149","301","329","299"
"530",592332,"Gausman, Kevin","530","100.0","0.162","0.092","0.198","0.254","0.214","0.306","0.235","21","130","89.7","20.3","2292","94.4","94.42","53","266","264","0.0","6.47","112","156","116","151","297","323","294"
"527",607231,"Gant, John","527","100.0","0.259","0.052","0.315","0.310","0.313","0.363","0.287","30","116","89.2","8.4","2397","88.3","88.18","32","210","317","-0.1","6.37","112","155","114","147","297","317","295"
"527",605347,"López, Jorge","527","100.0","0.237","0.191","0.276","0.427","0.339","0.329","0.228","31","131","89.7","8.9","1965","95.1","95.25","57","245","282","0.1","6.40","110","153","119","150","306","325","294"
"526",605164,"Bundy, Dylan","526","100.0","0.259","0.278","0.280","0.537","0.370","0.329","0.229","28","108","87.1","17.1","2523","87.5","86.29","45","226","300","-1.2","5.94","115","159","116","151","305","327","301"
"525",607074,"Rodón, Carlos","525","100.0","0.173","0.125","0.224","0.298","0.227","0.257","0.208","18","104","88.7","15.1","2271","94.6","94.33","92","288","237","-0.3","6.22","108","149","113","148","300","319","292"
"523",664299,"Javier, Cristian","523","100.0","0.190","0.181","0.205","0.371","0.314","0.388","0.256","20","105","93.6","21.3","2331","93.0","92.10","66","260","263","-0.9","5.94","112","158","119","151","291","327","294"
"515",571510,"Boyd, Matthew","515","100.0","0.210","0.101","0.245","0.311","0.272","0.298","0.210","25","119","88.9","20.6","2363","89.2","88.73","51","257","258","-0.5","6.24","105","153","118","146","301","329","298"
"512",592351,"Gray, Jon","512","100.0","0.296","0.102","0.333","0.398","0.351","0.343","0.277","32","108","86.1","0.3","2171","92.5","92.47","33","206","306","0.0","6.37","112","152","116","149","300","331","304"
"510",641816,"Mahle, Tyler","510","100.0","0.196","0.144","0.291","0.340","0.287","0.262","0.181","19","97","88.5","18.1","2468","94.3","94.35","58","230","280","0.1","6.65","112","155","116","149","296","318","293"
"509",543037,"Cole, Gerrit","509","100.0","0.233","0.126","0.356","0.359","0.271","0.254","0.195","24","103","92.1","23.1","2561","97.2","97.35","80","262","247","0.2","6.59","112","157","117","151","299","327","288"
"504",605452,"Ross, Joe","504","100.0","0.276","0.241","0.279","0.517","0.400","0.430","0.304","24","87","86.0","16.1","2131","93.3","92.46","59","209","295","-0.8","6.57","109","154","118","148","308","325","298"
"500",605200,"Davies, Zach","500","100.0","0.292","0.132","0.313","0.425","0.374","0.434","0.335","31","106","89.5","5.5","2086","85.7","85.43","15","175","325","-0.3","6.12","111","154","114","148","296","323","293"
"497",502043,"Gibson, Kyle","497","100.0","0.212","0.085","0.232","0.297","0.263","0.327","0.272","25","118","90.2","5.4","2234","91.2","91.61","39","213","284","0.4","6.69","113","157","118","148","292","322","295"
"493",608331,"Fried, Max","493","100.0","0.310","0.168","0.376","0.478","0.371","0.339","0.280","35","113","84.5","2.1","2302","87.6","87.74","50","230","263","0.1","6.31","105","151","119","150","303","316","288"
"492",446372,"Kluber, Corey","492","100.0","0.224","0.129","0.286","0.353","0.299","0.328","0.240","26","116","89.3","10.8","2337","86.6","85.94","52","205","287","-0.7","6.52","109","154","122","148","301","330","290"
"492",677651,"Garcia, Luis","492","100.0","0.265","0.224","0.304","0.490","0.366","0.360","0.248","26","98","90.7","20.3","2300","90.7","90.04","43","220","272","-0.7","6.22","116","156","118","152","294","327","295"
"491",656756,"Montgomery, Jordan","491","100.0","0.209","0.127","0.282","0.336","0.275","0.287","0.217","23","110","89.0","10.9","2237","87.4","87.65","64","223","268","0.2","6.59","107","154","115","149","299","327","287"
"491",669373,"Skubal, Tarik","491","100.0","0.293","0.313","0.318","0.606","0.429","0.451","0.323","29","99","93.0","23.6","2239","94.2","93.53","60","255","236","-0.7","6.23","105","152","118","147","302","329","297"
"487",601713,"Pivetta, Nick","487","100.0","0.216","0.091","0.322","0.307","0.300","0.303","0.202","19","88","88.8","21.5","2317","94.8","95.15","55","240","247","0.3","6.63","111","155","119","148","285","322","298"
"484",608337,"Giolito, Lucas","484","100.0","0.212","0.188","0.226","0.400","0.324","0.364","0.247","18","85","93.5","20.6","2427","93.5","94.36","52","231","253","0.9","6.86","112","150","114","150","299","319","294"
"479",571578,"Corbin, Patrick","479","100.0","0.343","0.305","0.330","0.648","0.443","0.446","0.353","36","105","90.1","8.1","2141","91.1","90.04","34","217","262","-1.1","6.78","106","151","115","149","308","321","292"
"478",664141,"Brubaker, JT","478","100.0","0.224","0.164","0.247","0.388","0.305","0.312","0.244","26","116","86.2","8.8","2312","91.3","90.48","37","206","272","-0.8","5.86","109","154","119","149","302","322","290"
"476",622608,"Senzatela, Antonio","476","100.0","0.293","0.103","0.304","0.397","0.339","0.401","0.338","34","116","90.3","3.9","2103","93.1","93.41","29","206","270","0.3","6.23","109","151","119","148","304","335","305"
"475",669145,"Zimmermann, Bruce","475","100.0","0.356","0.250","0.403","0.606","0.439","0.424","0.331","37","104","90.6","14.8","2405","89.3","88.35","46","203","272","-0.9","6.18","109","152","120","149","302","323","296"
"474",622491,"Castillo, Luis","474","100.0","0.436","0.248","0.481","0.683","0.505","0.409","0.325","44","101","85.3","10.7","2229","96.5","94.54","34","208","266","-2.0","5.48","110","151","113","148","291","319","290"
"472",605513,"Turnbull, Spencer","472","100.0","0.202","0.087","0.244","0.288","0.255","0.280","0.212","21","104","87.9","8.9","2429","92.6","92.62","47","229","243","0.0","6.32","108","152","116","148","300","329","300"
"469",663554,"Mize, Casey","469","100.0","0.228","0.198","0.254","0.426","0.346","0.352","0.231","23","101","87.6","14.6","2228","94.1","94.46","45","216","253","0.4","6.86","107","154","117","148","297","329","302"
"469",664353,"Urquidy, José","469","100.0","0.212","0.150","0.244","0.363","0.267","0.262","0.207","24","113","88.6","25.8","2228","90.5","89.99","50","252","217","-0.5","6.00","115","156","118","152","290","326","294"
"468",592836,"Walker, Taijuan","468","100.0","0.177","0.052","0.267","0.229","0.238","0.307","0.223","17","96","89.5","11.8","2179","91.5","90.67","56","192","276","-0.8","6.04","112","155","114","149","296","327","298"
"462",668676,"Plesac, Zach","462","100.0","0.237","0.183","0.254","0.419","0.305","0.342","0.260","22","93","89.8","11.0","2024","90.5","90.54","48","201","261","0.0","6.23","114","155","120","150","295","324","296"
"458",641540,"Dunning, Dane","458","100.0","0.281","0.116","0.344","0.397","0.331","0.366","0.293","34","121","91.9","5.4","2039","90.5","89.92","26","200","258","-0.6","6.55","115","156","118","148","296","326","297"
"456",573186,"Stroman, Marcus","456","100.0","0.262","0.131","0.273","0.393","0.303","0.372","0.319","28","107","89.4","-1.5","2387","92.2","91.96","40","219","237","-0.2","5.99","111","154","114","149","298","326","297"
"454",656302,"Cease, Dylan","454","100.0","0.233","0.111","0.269","0.344","0.314","0.357","0.240","21","90","90.3","22.9","2606","95.8","95.23","71","245","209","-0.6","6.00","111","150","113","147","298","317","291"
"447",675916,"Karinchak, James","447","100.0","0.140","0.140","0.225","0.279","0.246","0.277","0.177","12","86","91.1","26.4","2440","92.2","91.30","74","204","243","-0.9","5.87","113","154","119","149","294","323","297"
"446",543101,"DeSclafani, Anthony","446","100.0","0.224","0.095","0.274","0.319","0.271","0.281","0.221","26","116","90.7","12.6","2206","93.9","93.30","45","206","240","-0.6","6.60","110","154","116","149","299","323","291"
"439",518633,"Duffy, Danny","439","100.0","0.232","0.074","0.328","0.305","0.280","0.296","0.225","22","95","90.5","22.2","2299","91.2","91.81","58","225","214","0.6","6.75","107","159","117","144","298","320","294"
"438",594798,"deGrom, Jacob","438","100.0","0.170","0.140","0.259","0.310","0.228","0.235","0.164","17","100","89.1","18.1","2415","99.1","100.19","82","239","199","1.1","6.96","117","155","115","150","298","325","298"
"433",666200,"Luzardo, Jesús","433","100.0","0.269","0.192","0.338","0.462","0.338","0.288","0.205","28","104","88.7","13.5","2420","92.6","88.27","58","193","240","-4.3","5.71","110","148","120","152","299","322","294"
"431",669456,"Bieber, Shane","431","100.0","0.257","0.238","0.375","0.495","0.357","0.328","0.228","26","101","94.3","21.4","2353","93.0","93.23","45","190","241","0.2","6.62","111","157","118","150","294","322","295"
"429",542881,"Anderson, Tyler","429","100.0","0.276","0.161","0.375","0.437","0.341","0.339","0.237","24","87","88.9","16.8","2410","89.6","88.55","52","205","224","-1.0","5.90","107","151","117","148","300","319","283"
"424",596133,"Weaver, Luke","424","100.0","0.207","0.241","0.230","0.448","0.313","0.372","0.259","18","87","90.7","15.2","2505","93.1","92.32","46","208","216","-0.8","5.93","111","154","118","150","308","332","303"
"422",656849,"Peterson, David","422","100.0","0.245","0.202","0.290","0.447","0.342","0.379","0.290","23","94","90.1","10.5","2082","92.3","93.66","40","181","241","1.4","7.20","113","152","111","149","298","324","292"
"419",642092,"Smith, Riley","419","100.0","0.333","0.182","0.366","0.515","0.396","0.393","0.320","33","99","91.1","9.7","2304","90.9","90.81","24","178","241","-0.1","6.37","110","152","120","150","303","333","304"
"404",677960,"Weathers, Ryan","404","100.0","0.262","0.238","0.254","0.500","0.351","0.420","0.334","22","84","92.2","13.4","2041","94.0","92.90","28","174","230","-1.1","5.68","114","155","131","147","302","321","308"
"403",547943,"Ryu, Hyun Jin","403","100.0","0.253","0.228","0.300","0.481","0.333","0.338","0.244","20","79","88.6","15.5","2083","84.6","84.14","39","152","251","-0.5","6.49","107","154","118","149","295","316","285"
"402",623167,"Flexen, Chris","402","100.0","0.304","0.114","0.367","0.418","0.339","0.313","0.253","24","79","91.5","18.4","2273","87.3","86.74","29","188","214","-0.6","6.02","110","154","113","148","295","325","300"
"402",607200,"Fedde, Erick","402","100.0","0.236","0.157","0.300","0.393","0.326","0.349","0.262","21","89","85.7","1.3","1974","90.7","91.41","29","161","241","0.7","6.74","110","154","122","144","306","321","300"
"401",596295,"Gomber, Austin","401","100.0","0.272","0.247","0.269","0.519","0.372","0.413","0.295","22","81","89.0","14.8","1983","91.8","91.36","19","173","228","-0.4","6.64","108","153","117","146","299","326","297"
"400",664192,"Lucchesi, Joey","400","100.0","0.244","0.159","0.339","0.402","0.313","0.290","0.216","20","82","87.1","14.7","2178","86.0","85.77","47","176","224","-0.2","6.44","112","152","112","149","299","324","295"
"397",643338,"Green, Chad","397","100.0","0.157","0.135","0.167","0.292","0.222","0.287","0.213","14","89","89.1","24.3","2557","91.4","91.80","62","186","210","0.4","6.67","109","156","115","148","299","328","289"
"394",622251,"Staumont, Josh","394","100.0","0.173","0.111","0.236","0.284","0.268","0.301","0.200","14","81","91.3","18.7","2431","92.6","93.03","43","163","231","0.4","6.67","108","159","116","146","295","321","300"
"390",501985,"Minor, Mike","390","100.0","0.176","0.257","0.178","0.432","0.324","0.345","0.202","13","74","92.5","25.1","2562","91.1","88.79","41","193","197","-2.3","5.61","106","157","115","144","298","322","296"
"390",501381,"Pineda, Michael","390","100.0","0.260","0.281","0.257","0.542","0.357","0.401","0.294","25","96","92.0","20.8","1970","90.9","90.36","31","194","196","-0.5","6.30","107","159","111","150","302","331","295"
"390",593958,"Rodriguez, Eduardo","390","100.0","0.270","0.176","0.415","0.446","0.326","0.262","0.209","20","74","88.4","18.6","2159","92.5","91.79","47","196","194","-0.7","6.00","109","154","117","148","293","328","292"
"387",605397,"Musgrove, Joe","387","100.0","0.179","0.167","0.220","0.346","0.255","0.308","0.240","14","78","88.1","7.5","2618","88.2","87.45","44","163","224","-0.8","5.87","116","157","131","144","297","321","306"
"387",608718,"Suter, Brent","387","100.0","0.238","0.129","0.288","0.366","0.283","0.293","0.244","24","101","81.9","12.9","2193","85.7","86.35","36","198","189","0.6","7.19","105","152","117","147","300","322","295"
"383",608723,"Voth, Austin","383","100.0","0.232","0.220","0.264","0.451","0.320","0.371","0.278","19","82","87.1","13.6","2509","89.6","89.07","48","190","193","-0.5","6.20","111","155","122","149","307","324","298"
"382",650893,"Cabrera, Génesis","382","100.0","0.228","0.114","0.347","0.342","0.320","0.330","0.221","18","79","89.6","15.9","2278","91.9","90.63","45","168","214","-1.3","6.01","111","153","118","147","295","316","297"
"381",656629,"Kopech, Michael","381","100.0","0.169","0.120","0.231","0.289","0.243","0.262","0.189","14","83","87.0","19.6","2537","94.4","94.51","57","186","195","0.1","6.56","112","151","116","149","296","318","294"
"380",572971,"Keuchel, Dallas","380","100.0","0.273","0.227","0.270","0.500","0.363","0.386","0.314","24","88","88.1","-2.5","1985","87.6","86.77","21","156","224","-0.8","6.11","110","151","116","147","298","318","294"
"373",547942,"Kim, Kwang Hyun","373","100.0","0.276","0.092","0.318","0.368","0.314","0.369","0.317","21","76","89.1","10.1","2156","85.0","85.42","26","143","230","0.4","6.68","111","155","117","147","299","318","292"
"373",592346,"González, Chi Chi","373","100.0","0.333","0.138","0.365","0.471","0.379","0.367","0.301","29","87","87.9","16.1","2433","90.8","90.04","20","167","206","-0.8","5.93","111","153","118","148","299","331","302"
"370",592826,"Velasquez, Vince","370","100.0","0.200","0.257","0.220","0.457","0.356","0.376","0.230","14","70","91.7","22.9","2394","93.3","93.77","46","174","196","0.5","6.62","108","150","115","147","301","323","295"
"370",656954,"Sheffield, Justus","370","100.0","0.325","0.096","0.347","0.422","0.380","0.432","0.332","27","83","88.7","3.2","2050","92.3","90.46","13","150","220","-1.8","5.95","105","152","112","147","295","324","297"
"369",640470,"Alzolay, Adbert","369","100.0","0.244","0.346","0.231","0.590","0.379","0.376","0.269","19","78","91.3","8.2","2302","93.2","93.22","33","158","211","0.0","6.31","114","158","119","151","293","318","294"
"367",592761,"Smith, Caleb","367","100.0","0.203","0.078","0.261","0.281","0.281","0.373","0.271","13","64","87.4","22.5","2524","89.3","87.93","44","160","207","-1.4","5.67","109","153","119","150","304","331","301"
"363",594835,"Gonzales, Marco","363","100.0","0.230","0.189","0.246","0.419","0.316","0.430","0.326","17","74","92.0","18.5","2231","84.2","84.06","30","161","202","-0.1","6.31","109","153","113","146","297","324","296"
"361",621249,"Underwood Jr., Duane","361","100.0","0.292","0.146","0.320","0.438","0.351","0.357","0.279","26","89","91.1","10.4","2226","88.5","88.66","29","161","200","0.2","6.46","107","150","117","146","302","319","288"
"361",448855,"Guerra, Junior","361","100.0","0.244","0.167","0.246","0.410","0.338","0.308","0.225","19","78","87.0","15.5","2480","88.4","87.93","33","153","208","-0.5","6.40","112","155","115","149","303","324","297"
"361",621052,"Reyes, Alex","361","100.0","0.190","0.032","0.255","0.222","0.308","0.373","0.233","12","63","89.6","11.9","2509","93.8","92.91","39","147","214","-0.9","6.09","115","158","118","148","298","321","301"
"359",657277,"Webb, Logan","359","100.0","0.290","0.087","0.333","0.377","0.336","0.338","0.277","20","69","84.9","5.3","2105","92.6","90.35","23","139","220","-2.3","6.80","108","153","113","148","300","321","292"
"357",640444,"Crowe, Wil","357","100.0","0.288","0.258","0.298","0.545","0.396","0.391","0.276","19","66","89.7","11.2","2457","92.2","92.32","26","146","211","0.1","6.39","108","151","116","148","298","322","288"
"357",527048,"Pérez, Martín","357","100.0","0.198","0.062","0.291","0.259","0.244","0.248","0.181","16","81","86.9","6.1","2182","89.5","88.04","20","137","220","-1.5","5.75","107","152","115","146","290","323","295"
"353",502624,"Anderson, Chase","353","100.0","0.324","0.380","0.296","0.704","0.466","0.449","0.321","23","71","87.6","10.2","2105","89.1","87.97","33","149","204","-1.1","5.88","112","150","114","150","296","324","293"
"352",656529,"Hentges, Sam","352","100.0","0.337","0.229","0.393","0.566","0.419","0.427","0.308","28","83","91.7","12.5","2267","89.7","90.27","29","152","200","0.6","6.70","110","152","117","148","298","322","291"
"352",622072,"Wood, Alex","352","100.0","0.333","0.246","0.356","0.579","0.436","0.436","0.321","19","57","89.7","17.9","2185","91.7","89.80","27","142","210","-1.9","6.27","110","153","114","148","301","322","289"
"349",592717,"Sanchez, Aaron","349","100.0","0.220","0.073","0.262","0.293","0.269","0.297","0.241","18","82","86.4","1.8","2234","83.2","83.27","34","146","203","0.1","6.80","110","156","117","149","301","321","296"
"342",533167,"Shoemaker, Matt","342","100.0","0.349","0.206","0.345","0.556","0.439","0.433","0.316","22","63","89.6","14.5","2194","91.5","90.23","24","149","193","-1.3","6.04","107","158","114","150","301","333","297"
"338",660271,"Ohtani, Shohei","338","100.0","0.224","0.122","0.237","0.347","0.375","0.415","0.272","11","49","89.9","11.1","2357","94.2","95.00","33","126","212","0.8","6.85","111","158","116","153","305","327","299"
"337",660623,"Ynoa, Huascar","337","100.0","0.230","0.264","0.221","0.494","0.340","0.417","0.314","20","87","93.6","3.9","2171","96.7","96.29","25","154","183","-0.4","6.09","111","152","119","151","297","317","296"
"337",448281,"Doolittle, Sean","337","100.0","0.247","0.205","0.349","0.452","0.330","0.332","0.233","18","73","91.2","25.7","2293","91.4","91.24","46","178","159","-0.2","6.13","111","153","115","147","292","316","290"
"335",456501,"Cueto, Johnny","335","100.0","0.311","0.081","0.397","0.392","0.319","0.355","0.310","23","74","88.7","14.1","2277","91.4","88.09","42","176","159","-3.3","5.73","107","155","115","149","297","319","292"
"332",621368,"Hearn, Taylor","332","100.0","0.281","0.203","0.341","0.484","0.380","0.393","0.287","18","64","92.2","14.0","2235","95.3","91.17","38","153","179","-4.1","6.14","112","152","118","146","294","322","294"
"326",642528,"Loaisiga, Jonathan","326","100.0","0.214","0.057","0.255","0.271","0.261","0.242","0.185","15","70","85.2","-4.1","2422","94.8","94.92","39","168","158","0.1","6.62","105","152","114","146","300","328","288"
"326",593372,"Martínez, Carlos","326","100.0","0.233","0.082","0.239","0.315","0.308","0.382","0.292","17","73","90.7","8.2","2039","92.7","91.19","17","153","173","-1.5","5.72","115","157","116","148","297","316","293"
"325",656288,"Canning, Griffin","325","100.0","0.262","0.377","0.250","0.639","0.419","0.376","0.255","16","61","92.2","30.0","2330","91.8","90.76","38","146","179","-1.0","5.88","115","159","120","153","301","326","302"
"318",614179,"Ruiz, José","318","100.0","0.192","0.154","0.236","0.346","0.261","0.316","0.249","15","78","92.9","14.4","2357","91.9","91.46","36","159","159","-0.4","6.02","113","149","121","149","294","316","294"
