"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"36",607374,"Tropeano, Nick","36","100.0","0.273","0.091","0.273","0.364","0.339","0.434","0.414","3","11","83.3","0.8","2212","90.0","89.09","2","16","20","-0.9","5.70","112","160","116","151","295","319","290"
"36",656725,"McRae, Alex","36","100.0","0.143","0.000","0.167","0.143","0.197","0.401","0.297","1","7","81.2","28.0","2141","90.6","90.94","5","19","17","0.3","6.39","106","147","118","147","293","315","293"
"36",453192,"Miller, Andrew","36","100.0","0.400","0.600","0.250","1.000","0.619","0.586","0.329","2","5","89.9","19.6","2034","87.2","88.79","2","15","21","1.6","7.20","111","151","121","146","292","319","292"
"36",623485,"Goudeau, Ashton","36","100.0","0.000","0.000","0.000","0.000","0.069","0.317","0.251","0","9","85.8","12.8","2190","85.9","85.94","2","16","20","0.0","6.33","103","153","117","150","300","321","299"
"35",665733,"Santos, Antonio","35","100.0","0.222","0.111","0.250","0.333","0.320","0.348","0.289","2","9","86.1","5.1","2124","90.9","90.93","2","13","22","0.0","6.32","115","151","125","147","299","329","296"
"34",665621,"García, Rony","34","100.0","0.000","0.000","0.000","0.000","0.000","0.258","0.176","0","7","95.4","24.2","2235","87.6","86.79","1","12","22","-0.8","5.72","109","157","122","147","302","325","296"
"34",666129,"Garrett, Braxton","34","100.0","0.143","0.000","0.167","0.143","0.197","0.459","0.404","1","7","83.5","-6.0","2350","87.7","87.86","4","19","15","0.2","6.31","110","153","121","144","294","307","290"
"33",624418,"Castellani, Ryan","33","100.0","0.300","0.400","0.286","0.700","0.481","0.522","0.324","3","10","95.6","16.6","2278","87.7","88.65","3","16","17","0.9","6.57","107","154","114","144","304","330","303"
"33",657240,"Merryweather, Julian","33","100.0","0.125","0.000","0.200","0.125","0.175","0.295","0.249","1","8","87.9","35.4","2447","96.6","97.02","4","18","15","0.4","6.68","105","153","125","148","292","316","274"
"32",571948,"Milner, Hoby","32","100.0","0.375","0.375","0.500","0.750","0.503","0.511","0.402","3","8","96.4","19.0","1972","83.7","83.37","5","18","14","-0.3","6.26","108","153","121","147","297","323","294"
